manager_name,cik,accession_number,report_period,reported_value,position_count,mapped_value,mapping_coverage,n_unmapped_positions,unmapped_value_share
tru Independence LLC,0001785445,0001785445-26-000002,31-MAR-2026,202204991,102,201844851,0.9982189361488115,1,0.0017810638511884802
"Three Cord True Wealth Management, LLC",0002056001,0002085853-26-000502,31-MAR-2026,179958111,39,179958111,1.0,0,0.0
"Delos Wealth Advisors, LLC",0001878326,0001878326-26-000002,31-MAR-2026,174658895,253,173923476,0.9957893985302037,10,0.004210601469796349
"GS Investments, Inc.",0001714590,0001420506-26-000812,31-MAR-2026,174597960,134,168790126,0.966735957281517,5,0.033264042718483045
Alpha Financial Partners LLC,0001966219,0001951757-26-000850,31-MAR-2026,168925796,103,168426963,0.9970470288623059,1,0.002952971137694105
"Longview Financial Advisors, Inc.",0001786915,0001786915-26-000002,31-MAR-2026,163647533,163,163420203,0.9986108559302266,13,0.001389144069773418
Hidden Lake Asset Management LP,0001750312,0001750312-26-000004,31-MAR-2026,150886419,20,142262482,0.94284484278204,2,0.05715515721796005
S. R. Schill & Associates,0001616004,0001616004-26-000003,31-MAR-2026,148034476,29,148034476,1.0,0,0.0
"KOM Wealth Management Group, LLC",0001804116,0001804116-26-000002,31-MAR-2026,146668076,89,146431793,0.9983889950257478,1,0.0016110049742521504
"Teton Advisors, LLC",0002086025,0001140361-26-021338,31-MAR-2026,142184152,153,136067004,0.9569772867513392,6,0.043022713248660804
Innovative Wealth Building LLC,0002062596,0002085853-26-000554,31-MAR-2026,142162775,70,142162775,1.0,0,0.0
SEVEN MILE ADVISORY,0001987932,0001987932-26-000002,31-MAR-2026,138559322,182,133482028,0.9633565325904236,19,0.03664346740957636
"Mendota Financial Group, LLC",0001964538,0001964538-26-000002,31-MAR-2026,134976775,32,134976775,1.0,0,0.0
STEWARDSHIP CONCEPTS FINANCIAL SERVICES LLC,0002105785,0002105785-26-000002,31-MAR-2026,127633859,62,127633859,1.0,0,0.0
"GRIZZLYROCK CAPITAL, LLC",0002011732,0001214659-26-006454,31-MAR-2026,126300061,18,107954110,0.8547431342887475,3,0.14525686571125251
"VanWeelden Wealth Management, LLC",0001740451,0001951757-26-000820,31-MAR-2026,125401269,31,125401269,1.0,0,0.0
Talisman Wealth Advisors LLC,0001962685,0001962685-26-000002,31-MAR-2026,124148669,101,123591533,0.9955123481831287,2,0.004487651816871274
"O'Domhnaill Enterprises, Inc.",0002020582,0002020582-26-000005,31-MAR-2026,124104055,55,124104055,1.0,0,0.0
"Pitti Group Wealth Management, LLC",0001909664,0001951757-26-000883,31-MAR-2026,123193887,81,122211264,0.9920237681923292,2,0.00797623180767082
"SJBENEN ADVISORY, LLC",0001813225,0002085853-26-000365,31-MAR-2026,119717430,23,119402858,0.9973723792767686,1,0.0026276207232314164
"Seal Cove Capital, LLC",0002135303,0002135303-26-000001,31-MAR-2026,114101352,19,114101352,1.0,0,0.0
"Bayesian Capital Management, LP",0001632551,0001420506-26-001146,31-MAR-2026,81949724,137,76364635,0.9318473726647328,9,0.06815262733526717
"Walleye Partners, LLC",0002068376,0002068376-26-000002,31-MAR-2026,81425463,54,81269251,0.9980815337826203,1,0.0019184662173796774
NCP Inc.,0002023709,0002023709-26-000003,31-MAR-2026,60108227,76,60018395,0.9985054957618364,1,0.001494504238163552
"One River Asset Management, LLC",0001616336,0001616336-26-000003,31-MAR-2026,29370168,77,29201537,0.9942584257604519,3,0.005741574239548131
