ticker,n_days,coverage,kept
ASPN,252,1.0,True
ASR,252,1.0,True
ASRV,252,1.0,True
ASST,252,1.0,True
ASTE,252,1.0,True
ASTH,252,1.0,True
ASTI,252,1.0,True
ASTL,252,1.0,True
ASTS,252,1.0,True
ASTX,181,0.7182539682539683,False
ASUR,252,1.0,True
ASX,252,1.0,True
ASYS,252,1.0,True
ATAI,252,1.0,True
ATAT,252,1.0,True
ATEC,252,1.0,True
ATEN,252,1.0,True
ATER,252,1.0,True
ATEX,252,1.0,True
ATFV,252,1.0,True
ATHE,252,1.0,True
ATHM,252,1.0,True
ATI,252,1.0,True
ATKR,252,1.0,True
ATLC,252,1.0,True
ATLO,252,1.0,True
ATLX,252,1.0,True
ATMP,252,1.0,True
ATMU,252,1.0,True
ATNI,252,1.0,True
ATNM,252,1.0,True
ATO,252,1.0,True
ATOM,252,1.0,True
ATOS,252,1.0,True
ATR,252,1.0,True
ATRC,252,1.0,True
ATRO,252,1.0,True
ATS,252,1.0,True
ATYR,252,1.0,True
AUB,252,1.0,True
AUBN,252,1.0,True
AUGM,252,1.0,True
AUGP,252,1.0,True
AUGT,252,1.0,True
AUGW,252,1.0,True
AUPH,252,1.0,True
AUR,252,1.0,True
AURA,252,1.0,True
AUSF,252,1.0,True
AUTL,252,1.0,True
AVA,252,1.0,True
AVAH,252,1.0,True
AVAL,252,1.0,True
AVAV,252,1.0,True
AVBC,166,0.6587301587301587,False
AVBH,252,1.0,True
AVBP,252,1.0,True
AVD,252,1.0,True
AVDE,252,1.0,True
AVDS,252,1.0,True
AVDV,252,1.0,True
AVEE,252,1.0,True
AVEM,252,1.0,True
AVES,252,1.0,True
AVGE,252,1.0,True
AVGG,218,0.8650793650793651,False
AVGO,252,1.0,True
AVGV,252,1.0,True
AVGW,172,0.6825396825396826,False
AVGX,252,1.0,True
AVIG,252,1.0,True
AVIR,252,1.0,True
AVIV,252,1.0,True
AVK,252,1.0,True
AVL,252,1.0,True
AVLC,252,1.0,True
AVLV,252,1.0,True
AVMC,252,1.0,True
AVNM,252,1.0,True
AVNT,252,1.0,True
AVNW,252,1.0,True
AVO,252,1.0,True
AVPT,252,1.0,True
AVR,252,1.0,True
AVRE,252,1.0,True
AVSC,252,1.0,True
AVSD,252,1.0,True
AVSE,252,1.0,True
AVSF,252,1.0,True
AVSU,252,1.0,True
AVT,252,1.0,True
AVTM,40,0.15873015873015872,False
AVTR,252,1.0,True
AVTX,252,1.0,True
AVUS,252,1.0,True
AVUV,252,1.0,True
AVXL,252,1.0,True
AVY,252,1.0,True
AWAY,252,1.0,True
AWI,252,1.0,True
AWK,252,1.0,True
AWP,252,1.0,True
AWR,252,1.0,True
AWRE,252,1.0,True
AWX,252,1.0,True
AX,252,1.0,True
AXGN,252,1.0,True
AXIAY,0,0.0,False
AXICY,62,0.24603174603174602,False
AXON,252,1.0,True
AXP,252,1.0,True
AXR,252,1.0,True
AXSM,252,1.0,True
AXTI,252,1.0,True
AYI,252,1.0,True
AYTU,252,1.0,True
AZ,252,1.0,True
AZNN,0,0.0,False
AZO,252,1.0,True
AZTA,252,1.0,True
AZZ,252,1.0,True
B,252,1.0,True
BA,252,1.0,True
BAB,252,1.0,True
BABA,252,1.0,True
BABX,252,1.0,True
BAC,252,1.0,True
BAER,252,1.0,True
BAGY,229,0.9087301587301587,True
BAH,252,1.0,True
BAI,252,1.0,True
BAK,252,1.0,True
BALI,252,1.0,True
BALL,252,1.0,True
BALT,252,1.0,True
BALY,252,1.0,True
BAM,252,1.0,True
BANC,252,1.0,True
BAND,252,1.0,True
BANF,252,1.0,True
BANR,252,1.0,True
BANX,252,1.0,True
BAPR,252,1.0,True
BAR,252,1.0,True
BATRA,252,1.0,True
BATRK,252,1.0,True
BATT,252,1.0,True
BAUG,252,1.0,True
BAX,252,1.0,True
BB,252,1.0,True
BBAG,252,1.0,True
BBAI,252,1.0,True
BBAR,252,1.0,True
BBAX,252,1.0,True
BBBI,252,1.0,True
BBBL,252,1.0,True
BBBS,252,1.0,True
BBCA,252,1.0,True
BBCP,252,1.0,True
BBD,252,1.0,True
BBDC,252,1.0,True
BBDO,252,1.0,True
BBEM,252,1.0,True
BBEU,252,1.0,True
BBH,252,1.0,True
BBHL,91,0.3611111111111111,False
BBHY,252,1.0,True
BBIN,252,1.0,True
BBIO,252,1.0,True
BBJP,252,1.0,True
BBLU,252,1.0,True
BBMC,252,1.0,True
BBN,252,1.0,True
BBNX,252,1.0,True
BBOT,252,1.0,True
BBP,252,1.0,True
BBRE,252,1.0,True
BBSC,252,1.0,True
BBSI,252,1.0,True
BBT,252,1.0,True
BBUC,252,1.0,True
BBUS,252,1.0,True
BBVA,252,1.0,True
BBW,252,1.0,True
BBWI,252,1.0,True
BBY,252,1.0,True
BC,252,1.0,True
BCABGBP,0,0.0,False
BCAL,252,1.0,True
BCAT,252,1.0,True
BCAX,252,1.0,True
BCBP,252,1.0,True
BCC,252,1.0,True
BCD,252,1.0,True
BCDA,252,1.0,True
BCE,252,1.0,True
BCH,252,1.0,True
BCHP,252,1.0,True
BCI,252,1.0,True
BCIC,252,1.0,True
BCML,252,1.0,True
BCO,252,1.0,True
BCPC,252,1.0,True
BCPL,54,0.21428571428571427,False
BCRX,252,1.0,True
BCS,252,1.0,True
BCSF,252,1.0,True
BCSM,72,0.2857142857142857,False
BCTK,72,0.2857142857142857,False
BCX,252,1.0,True
BCYC,252,1.0,True
