manager_name,cik,accession_number,report_period,portfolio_value,position_count,mapping_coverage,price_history_coverage,volatility,mdd,beta,sector_hhi,unknown_sector_weight,n_sectors
BEACON INVESTMENT ADVISORS LLC,0001961635,0001172661-26-001953,31-MAR-2026,251649667,156,0.9499101719361958,0.9160041606572045,0.17817148044717743,0.12571632378058362,0.8850014318986308,0.1464539585248543,0.001183143749538365,13
"PING CAPITAL MANAGEMENT, INC.",0001804352,0001804352-26-000002,31-MAR-2026,254171078,58,0.983155914935763,0.998472682245932,0.4775032072894054,0.32384936153484134,1.1453060321511421,0.21212556661378792,0.0,11
"Palisades Investment Partners, LLC",0001427373,0001427373-26-000002,31-MAR-2026,242253599,48,0.949776691900202,1.0,0.2836304748201926,0.12086630907721785,1.2281849561124623,0.24362146770302412,0.0,8
AXS Investments LLC,0001801467,0001801467-26-000004,31-MAR-2026,234837747,171,0.9482878805756362,0.9877722340778546,0.18329726986061246,0.10402282391833062,0.9336693930168694,0.3578798996063744,0.0004429222763595142,12
Montz Harcus Wealth Management LLC,0001918613,0002085853-26-000518,31-MAR-2026,247420697,87,0.9991527538039428,0.951002449888014,0.18268114559221435,0.12415877714912116,0.9468713804489887,0.41098898394960665,0.1463445482458606,11
Investors Towarzystwo Funduszy Inwestycyjnych Spolka Akcyjna,0002079571,0002079571-26-000003,31-MAR-2026,233973140,177,0.9664772346589443,0.9948436859034332,0.25376764870038016,0.1368117373303287,1.2831150475268687,0.2432870947267237,0.012419663068558934,11
Pilgrim Partners Asia Pte Ltd,0002012674,0002012674-26-000003,31-MAR-2026,234074348,107,0.9873680985171489,0.9720447282843654,0.23529766169505648,0.17829142955692623,1.007405487948887,0.5876313513031886,0.00013415330401779212,12
Robbins Farley,0001847820,0001847820-26-000002,31-MAR-2026,215465570,133,0.9537404589079842,0.9981568331311588,0.16532842115951515,0.10457851982580979,0.8442122043079061,0.12748789623910936,0.00912881072722384,13
"DIXON FNANCIAL SERVICES, INC.",0001909993,0001909993-26-000002,31-MAR-2026,222733474,42,1.0,0.9825450394582361,0.17589501024152618,0.12916856347917027,0.8840615733379342,0.7874119730583726,0.0,9
"Meritas Wealth Management, LLC",0001990690,0001990690-26-000002,31-MAR-2026,221067811,56,0.9996147734913211,0.9927279734090279,0.1677558359133822,0.1250551869957297,0.8306278763546059,0.7767849346182947,0.0,9
Higgins & Schmidt Wealth Strategies LLC,0001941260,0001941260-26-000002,31-MAR-2026,218918015,62,1.0,0.9980605935971053,0.15670257679622035,0.11009543545103861,0.7985509716267271,0.9089946408108044,0.026530924195601952,9
