manager_name,cik,volatility,mdd,beta,sector_hhi,cluster_id,risk_profile,distance_or_probability
"KOM Wealth Management Group, LLC",0001804116,0.14274697251398866,0.10100102365171815,0.7091267841442372,0.6612151960979851,0,DEFENSIVE,0.14981048756019913
"Teton Advisors, LLC",0002086025,0.2369819171337812,0.12656835349417117,0.9664226863208843,0.2042636513099989,2,BALANCED,0.6748624133111214
Innovative Wealth Building LLC,0002062596,0.1572180315014403,0.10816702610561801,0.8223095322099059,0.8881906366505753,0,DEFENSIVE,0.6691661907873732
SEVEN MILE ADVISORY,0001987932,0.19722177438253316,0.11795194765308681,1.0186440900050213,0.2204607652700663,2,BALANCED,0.6456322718517475
"Mendota Financial Group, LLC",0001964538,0.12276499182081352,0.08774866704617879,0.6141343703121915,0.9726073299436856,0,DEFENSIVE,1.130493561671359
STEWARDSHIP CONCEPTS FINANCIAL SERVICES LLC,0002105785,0.128251494942459,0.09391360009373229,0.6549029345057719,0.9142099972749305,0,DEFENSIVE,0.8032188025027919
"GRIZZLYROCK CAPITAL, LLC",0002011732,0.33900867542898344,0.2688284196297138,1.270967970519867,0.16968587802060256,1,AGGRESSIVE,1.6874490509158746
Talisman Wealth Advisors LLC,0001962685,0.15163871186614208,0.10862491566803967,0.7865781353762723,0.5375559023180556,0,DEFENSIVE,0.4043609300381005
"O'Domhnaill Enterprises, Inc.",0002020582,0.1481661447404406,0.10383112689193319,0.4018408373766195,0.2261311042642242,0,DEFENSIVE,1.238135444627264
"Pitti Group Wealth Management, LLC",0001909664,0.15099040371732222,0.10454325591394664,0.782323493295579,0.4868944028006873,0,DEFENSIVE,0.36470372300134923
"SJBENEN ADVISORY, LLC",0001813225,0.2157601649323567,0.1571866305169629,1.0302487529511124,0.6328041289715239,2,BALANCED,1.31978925833784
"Seal Cove Capital, LLC",0002135303,0.19004376535845763,0.11501981998484001,0.9936934194975243,0.8780561120416315,2,BALANCED,1.3621896968943388
"Bayesian Capital Management, LP",0001632551,0.2539274341732235,0.14697798395238837,1.2100181765350613,0.13165301104871002,2,BALANCED,1.4566935501120062
"Walleye Partners, LLC",0002068376,0.16962508239241678,0.11818242674961277,0.8521117248040705,0.38499925261479767,0,DEFENSIVE,1.0742358140028412
NCP Inc.,0002023709,0.26186671170250075,0.12948737885890615,1.3100932024247476,0.251100843506459,2,BALANCED,1.6556083879670593
"One River Asset Management, LLC",0001616336,0.22236440694092535,0.16088607653663367,1.1377534004084688,0.2668375585151168,2,BALANCED,1.4353613457441585
