Ticker,Sector,Sigma,MDD,Beta
GFS,Unknown,0.429519,-0.64857,1.665238
GILD,Health Care,0.241104,-0.275389,0.358115
GIS,Consumer Staples,0.203164,-0.463658,0.028023
GL,Financials,0.521262,-0.802438,0.569238
GLW,Information Technology,0.280919,-0.290946,1.064703
GM,Consumer Discretionary,0.345281,-0.400214,1.023548
GNRC,Industrials,0.477216,-0.498976,1.58249
GOOG,Communication Services,0.303522,-0.301735,1.201491
GOOGL,Communication Services,0.304724,-0.3064,1.19599
GPC,Consumer Discretionary,0.279919,-0.459078,0.659477
GPN,Financials,0.344777,-0.550566,1.241542
GRMN,Consumer Discretionary,0.306632,-0.295228,1.02922
GS,Financials,0.269298,-0.320725,1.195106
GWW,Industrials,0.236738,-0.251282,0.791501
HAL,Energy,0.372848,-0.590846,1.090652
HAS,Consumer Discretionary,0.346205,-0.413466,1.045138
HBAN,Financials,0.317834,-0.418506,1.150634
HCA,Health Care,0.247863,-0.291047,0.528692
HD,Consumer Discretionary,0.220012,-0.225879,0.815809
HIG,Financials,0.210944,-0.17222,0.589462
HII,Industrials,0.336049,-0.509617,0.618956
HLT,Consumer Discretionary,0.226291,-0.270296,0.943766
HOLX,Health Care,0.229684,-0.425192,0.423998
HON,Industrials,0.206546,-0.229475,0.764951
HOOD,Financials,0.63061,-0.519354,2.352427
HPE,Information Technology,0.378719,-0.505811,1.442741
HPQ,Information Technology,0.320225,-0.45415,1.139873
HRL,Consumer Staples,0.249173,-0.564203,0.161196
HSIC,Health Care,0.25105,-0.361985,0.60136
HST,Real Estate,0.276172,-0.382752,1.103107
HSY,Consumer Staples,0.23326,-0.47502,0.139545
HUBB,Industrials,0.299715,-0.340797,1.144585
HUM,Health Care,0.380018,-0.661903,0.333886
HWM,Industrials,0.305613,-0.208829,1.150919
IBKR,Financials,0.342723,-0.405757,1.133299
IBM,Information Technology,0.236716,-0.202402,0.686435
ICE,Financials,0.184179,-0.228896,0.61679
IDXX,Health Care,0.346172,-0.401828,1.168631
IEX,Industrials,0.242348,-0.379658,0.868493
IFF,Materials,0.322725,-0.52721,0.792361
INCY,Health Care,0.292737,-0.426281,0.467049
INTC,Information Technology,0.517349,-0.709996,1.607045
INTU,Information Technology,0.307805,-0.247608,1.238218
INVH,Real Estate,0.221885,-0.24895,0.708903
IP,Materials,0.326422,-0.410781,0.857375
IPG,Communication Services,0.273883,-0.43795,0.819871
IQV,Health Care,0.320917,-0.503968,1.154689
IR,Industrials,0.28134,-0.378692,1.198689
IRM,Real Estate,0.276996,-0.411178,0.980228
ISRG,Health Care,0.309994,-0.326516,1.211108
IT,Information Technology,0.320529,-0.626809,0.979247
ITW,Industrials,0.200074,-0.214441,0.815625
IVZ,Financials,0.356753,-0.404634,1.547415
J,Industrials,0.230378,-0.264965,0.882061
JBHT,Industrials,0.321483,-0.458289,1.022408
JBL,Information Technology,0.376999,-0.398483,1.318145
JCI,Industrials,0.272709,-0.315489,1.116723
JKHY,Financials,0.230333,-0.297964,0.543238
JNJ,Health Care,0.170741,-0.183953,0.118953
JPM,Financials,0.228619,-0.252861,0.89514
K,Consumer Staples,0.18119,-0.289847,0.031667
KDP,Consumer Staples,0.211338,-0.333412,0.232974
KEY,Financials,0.432595,-0.594666,1.433262
KEYS,Information Technology,0.31235,-0.404894,1.289776
KHC,Consumer Staples,0.210104,-0.387639,0.249463
KIM,Real Estate,0.247774,-0.280117,0.841257
KKR,Financials,0.378044,-0.467432,1.797482
KLAC,Information Technology,0.407745,-0.406596,1.811148
KMB,Consumer Staples,0.199826,-0.312172,0.179668
KMI,Energy,0.21159,-0.195824,0.63959
KO,Consumer Staples,0.148469,-0.176091,0.190839
KR,Consumer Staples,0.224632,-0.148477,0.02244
KVUE,Consumer Staples,0.302713,-0.49531,0.329338
L,Financials,0.184106,-0.148151,0.59917
LDOS,Industrials,0.26022,-0.3845,0.507085
LEN,Consumer Discretionary,0.315677,-0.463285,0.866214
LH,Health Care,0.21996,-0.179819,0.600941
LHX,Industrials,0.21607,-0.324806,0.409804
LII,Industrials,0.317789,-0.317655,1.184857
LIN,Materials,0.181301,-0.15731,0.640735
